2.2908	0.1328
2.2468	0.1875
2.2237	0.1979
2.1926	0.2051
2.1348	0.2359
2.1145	0.2513
2.1185	0.2556
2.0942	0.2666
2.0554	0.2917
2.0102	0.3141
2.0094	0.3175
1.9968	0.3268
1.9642	0.3413
1.9193	0.3577
1.8840	0.3703
1.8571	0.3789
1.8248	0.3911
1.7868	0.4041
1.7525	0.4157
1.7198	0.4270
1.6930	0.4342
1.6646	0.4442
1.6293	0.4565
1.5958	0.4681
1.5691	0.4763
1.5575	0.4793
1.5450	0.4841
1.5357	0.4880
1.5130	0.4970
1.4905	0.5031
1.4676	0.5113
1.4522	0.5159
1.4353	0.5230
1.4160	0.5294
1.4000	0.5346
1.3876	0.5378
1.3705	0.5439
1.3553	0.5481
1.3410	0.5531
1.3264	0.5582
1.3140	0.5635
1.3008	0.5683
1.2856	0.5738
1.2694	0.5792
1.2562	0.5847
1.2435	0.5881
1.2279	0.5933
1.2162	0.5981
1.2074	0.6008
1.1971	0.6045
1.1912	0.6068
1.1789	0.6106
1.1708	0.6134
1.1609	0.6166
1.1533	0.6195
1.1410	0.6235
1.1329	0.6261
1.1230	0.6304
1.1135	0.6336
1.1057	0.6370
1.0972	0.6396
1.0880	0.6426
1.0819	0.6447
1.0753	0.6469
1.0678	0.6490
1.0623	0.6510
1.0550	0.6537
1.0487	0.6564
1.0429	0.6587
1.0367	0.6607
1.0300	0.6627
1.0229	0.6653
1.0158	0.6677
1.0083	0.6703
1.0026	0.6724
0.9962	0.6742
0.9914	0.6757
0.9854	0.6779
0.9801	0.6793
0.9743	0.6812
0.9704	0.6822
0.9645	0.6841
0.9585	0.6865
0.9522	0.6887
0.9500	0.6896
0.9457	0.6912
0.9406	0.6930
0.9349	0.6950
0.9309	0.6968
0.9252	0.6988
0.9213	0.7003
0.9151	0.7023
0.9115	0.7035
0.9074	0.7052
0.9018	0.7064
0.8975	0.7082
0.8931	0.7095
0.8874	0.7113
0.8839	0.7125
0.8797	0.7140
0.8772	0.7151
0.8738	0.7161
0.8698	0.7175
0.8659	0.7189
0.8622	0.7202
0.8587	0.7210
0.8551	0.7223
0.8540	0.7229
0.8490	0.7245
0.8448	0.7259
0.8410	0.7271
0.8375	0.7281
0.8341	0.7293
0.8299	0.7307
0.8260	0.7317
0.8236	0.7327
0.8209	0.7337
0.8165	0.7352
0.8140	0.7363
0.8112	0.7372
0.8068	0.7389
0.8031	0.7401
0.8015	0.7405
0.7982	0.7415
0.7949	0.7427
0.7918	0.7437
0.7881	0.7451
0.7863	0.7457
0.7840	0.7465
0.7822	0.7472
0.7791	0.7482
0.7756	0.7496
0.7732	0.7507
0.7699	0.7520
0.7680	0.7525
0.7650	0.7533
0.7626	0.7540
0.7605	0.7548
0.7583	0.7557
0.7562	0.7565
0.7534	0.7573
0.7496	0.7586
0.7471	0.7595
